Date,Open,High,Low,Close,Adj Close,Volume
2/2/2022,418.980011,421.179993,416.540009,420.359985,420.359985,6726500
2/3/2022,414.589996,416.429993,409.790009,410.589996,410.589996,7658300
2/4/2022,410.339996,416.23999,408.059998,412.519989,412.519989,8206500
2/7/2022,413.230011,414.619995,409.899994,411.160004,411.160004,5620900
2/8/2022,410.720001,415.459991,409.350006,414.48999,414.48999,5565700
2/9/2022,418.549988,420.869995,418.350006,420.570007,420.570007,6284500
2/10/2022,414.929993,420.799988,411.140015,413.179993,413.179993,9260500
2/11/2022,413.149994,415.200012,403.570007,404.940002,404.940002,10452700
2/14/2022,404.429993,405.98999,400.23999,403.619995,403.619995,10167600
2/15/2022,408.179993,410.290009,407.459991,410.100006,410.100006,6815000
2/16/2022,408.200012,411.890015,406.320007,410.589996,410.589996,7743800
2/17/2022,407.48999,407.980011,401.230011,401.859985,401.859985,7541000
2/18/2022,402.149994,403.309998,397,399.290009,399.290009,10570800
2/22/2022,397.049988,400.369995,391.51001,394.920013,394.920013,10414700
2/23/2022,397.73999,398.320007,387.380005,387.809998,387.809998,12154900
2/24/2022,377.76001,394.170013,377.5,393.769989,393.769989,21277200
2/25/2022,394.950012,402.519989,393.399994,402.369995,402.369995,11665200
2/28/2022,397.179993,402.850006,396,401.359985,401.359985,11855900
3/1/2022,400.01001,401.920013,392.790009,395.339996,395.339996,9124400
3/2/2022,397.720001,404.100006,396.779999,402.600006,402.600006,8185200
3/3/2022,405.019989,405.540009,398.880005,400.579987,400.579987,8745300
3/4/2022,396.929993,398.429993,393.369995,397.339996,397.339996,6317700
3/7/2022,396.730011,397,385.559998,385.609985,385.609985,8411500
3/8/2022,385.76001,392.73999,381.640015,382.700012,382.700012,9356100
3/9/2022,390.880005,394.850006,388.720001,392.899994,392.899994,5812600
3/10/2022,388.440002,392.01001,386.529999,391.149994,391.149994,6394800
3/11/2022,393.619995,394.190002,385.679993,386.160004,386.160004,5871000
3/14/2022,387.070007,390.269989,382.25,383.339996,383.339996,6455000
3/15/2022,385.859985,392.369995,384.630005,391.75,391.75,5739400
3/16/2022,395.5,400.549988,390.549988,400.51001,400.51001,7407300
3/17/2022,398.640015,405.559998,398.299988,405.410004,405.410004,5177500
3/18/2022,403.980011,410.279999,403.23999,409.890015,409.890015,5873400
,,,,,,
